Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
Transporter 3,Action,PG-13 ,104,11/26/2008,11,2008,30000000,Jason Statham,Natalya Rudakova,Franois Berland,Olivier Megaton,Luc Besson,"Strong-armed into transporting the kidnapped daughter of the head of the Environmental Agency for the Ukraine from Marseilles to Odessa, skilled wheelman Frank Martin (Jason Statham) enlists the aid of Inspector Tarconi (Franois Berland) in accomplishing the treacherous assignment in this action-packed installment of the popular action series produced by Luc Besson (who also co-scripts). Frank isn't exactly thrilled with his latest assignment, but when his employer turns up the pressure, he has little choice but to deliver. His cargo is a feisty young girl named Valentina (Natalya Rudakova) -- who just happens to be the daughter of Leonid Vasilev (Jeroen Krabb), the powerful top dog of the Ukraine EPA. Now, as Frank makes his way through Stuttgart and Budapest on the road to the Black Sea, Vasilev's men besiege his car from all sides, and his cynical young passenger gets a bad case of Stockholm Syndrome. As the driver and his cargo grow increasingly close, they both realize that making even a single mistake could cost them dearly. ~ Jason Buchanan, Rovi",Rotten,39,114,Spilled,49,201851
Brother,Action,R ,112,6/1/2001,6,2001,12000000,Takeshi Kitano,Omar Epps,Kuroudo Maki,Takeshi Kitano,Takeshi Kitano,"When Yakuza gangster Yamamoto is forcibly retired from his clan after a hostile takeover, he flies from Tokyo to Los Angeles to find his younger half brother Ken, whom he believes he has been financing through college. When he finds that Ken has dropped out of school to run a sloppy drug-dealing operation with his buddy Danny, Yamamoto slaps him on the back of the head in disgust, then shows the motley crew how to take over the LA underworld, Yakuza style. In the most violent ways imaginable, Yamamoto transforms the ragtag gang into a styling posse of professional punishers and schools them in a kamikaze code of honor that puts all other forms of gang bonding to shame.",Rotten,47,74,Upright,79,8713
Troy,Action,R ,165,5/14/2004,5,2004,175000000,Brad Pitt,Eric Bana,Orlando Bloom,Wolfgang Petersen,David Benioff,"Homer's sprawling tale of love and war in ancient Greece comes to the screen in all its grandeur in this epic-scale adventure. In 1193 B.C., Paris, Prince of Troy (Orlando Bloom), has fallen in love; however, the beautiful woman who has beguiled him is Helen, Queen of Sparta (Diane Kruger), who is wed to King Menelaus (Brendan Gleeson). While Helen is hardly immune to Paris' charms, this doesn't blunt Menelaus' fury when Paris steals her away from him. Menelaus' brother Agamemnon (Brian Cox), the power-hungry king of the Mycenaeans, is eager to expand his empire through Troy to the lands of the Aegean Sea, and he uses Paris' romantic slight against Menelaus as an excuse to wage an all-out war against the great walled city. Priam, King of Troy (Peter O'Toole), summons his armies, led by Prince Hector (Eric Bana), to meet the onslaught of Agamemnon's forces, but while the great city has yet to yield in a battle, Agamemnon has a formidable ally -- Achilles (Brad Pitt), a mighty and seemingly unstoppable warrior whose presence could tip the scales in Agamemnon's favor. Sean Bean, Julie Christie, Saffron Burrows, and Rose Byrne highlight the film's supporting cast. ~ Mark Deming, Rovi",Rotten,54,228,Upright,73,825158
Dungeons & Dragons,Action,PG-13 ,107,12/8/2000,12,2000,35000000,Justin Whalin,Jeremy Irons,Marlon Wayans,Courtney Solomon,Mark Leahy,"The Empire of Izmer has long been a divided land. The Mages - an elite group of magic users - rule whilst the lowly commoners are powerless. Izmer's young Empress, Savina, wants equality and prosperity for all, but the evil Mage Profion is plotting to depose her, and establish his own rule. In order to prevent Profion from taking over her kingdom, the Empress must find the legendary Rod of Savrille that controls the powerful Red Dragons. Enter two thieves, Ridley and Snails, who unwittingly become instrumental in the search for the Rod. They are joined by Mage Apprentice Marina, a feisty Dwarf named Elwood, and helped by the Empress's expert tracker, the Elf Norda, as they outrace Profion's chief henchman Damodar to find the magical Rod that will set their Kingdom free.",Rotten,10,92,Spilled,19,47658
Interstellar,Action,PG-13 ,169,11/7/2014,11,2014,165000000,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Christopher Nolan,Christopher Nolan,"With our time on Earth coming to an end, a team of explorers undertakes the most important mission in human history; traveling beyond this galaxy to discover whether mankind has a future among the stars. (C) Paramount",Certified-Fresh,72,364,Upright,86,175957
Pi,Action,R ,85,7/10/1998,7,1998,60000,Sean Gullette,Mark Margolis,Ben Shenkman,Darren Aronofsky,Darren Aronofsky,God and man and math: The tawdry meets the Talmudic in this complex thriller about a tortured computer genius trying to beat the stock market.,Certified-Fresh,88,58,Upright,85,108501
From Russia With Love,Action,PG ,125,4/8/1964,4,1964,2000000,Sean Connery,Daniela Bianchi,Robert Shaw,Terence Young,Ian Fleming,"Broccoli considered this as one of the best Fleming stories. Connery once again excelled and was well supported by a great cast including Robert Shaw, wonderfully menacing as a brutal killer; and Lotte Lenya as the Russian agent with the famous poison-tipped knife device in her shoe. The film also features many distinctive Bond motifs for the first time and its huge success firmly established the 007 films as a cultural phenomenon.",Certified-Fresh,95,60,Upright,84,93519
Airborne,Action,PG ,90,3/16/1994,3,1994,2600000,Shane McDermott,Shane Mc Dermott,Seth Green,Rob Bowman,Bill Apablasa,"The exciting world of rollerblading provides the basis of this tale of a young teen who tries to gain a pretty girl's affection with his skating prowess. Eventually, he uses his skills to win his enemies' respect and the girl's heart, but not without a lot of daring skating escapades.",Rotten,21,14,Spilled,59,8543
300,Action,R ,116,3/9/2007,3,2007,65000000,Gerard Butler,Lena Headey,David Wenham,Zack Snyder,Michael Gordon,"Sin City author Frank Miller's sweeping take on the historic Battle of Thermopylae comes to the screen courtesy of Dawn of the Dead director Zack Snyder. Gerard Butler stars as Spartan King Leonidas and Lena Headey plays Queen Gorgo. The massive army of the Persian Empire is sweeping across the globe, crushing every force that dares stand in its path. When a Persian envoy arrives in Sparta offering King Leonidas power over all of Greece if he will only bow to the will of the all powerful Xerxes (Rodrigo Santoro), the strong-willed leader assembles a small army comprised of his empire's best fighters and marches off to battle. Though they have virtually no hope of defeating Xerxes' intimidating battalion, Leonidas' men soldier on, intent on letting it be known they will bow to no man but their king. Meanwhile, back in Sparta, the loyal Queen Gorgo attempts to convince both the skeptical council and the devious Theron (Dominic West) to send more troops despite the fact that many view Leonidas' unsanctioned war march as a serious transgression. As Xerxes' fearsome ""immortals"" draw near, a few noble Greeks vow to assist the Spartans on the battlefield. When King Leonidas and his 300 Spartan warriors fell to the overwhelming Persian army at the Battle of Thermopylae, the fearless actions of the noble fighters inspired all of Greece to stand up against their Persian enemy and wage the battle that would ultimately give birth to the modern concept of democracy. ~ Jason Buchanan, Rovi",Fresh,61,235,Upright,89,1434961
Batman Returns,Action,PG-13 ,126,6/19/1992,6,1992,80000000,Michael Keaton,Danny DeVito,Michelle Pfeiffer,Tim Burton,Daniel Waters,"Batman returns, this time protecting Gotham City from the Penguin who is running for mayor and Catwoman who is just having fun in her psychotic way. The two villains team up to frame the caped crusader. Dark, stylish but ultimately too much with little story to propell it.",Certified-Fresh,80,84,Upright,73,641231
Hobo With a Shotgun,Action,R ,86,5/6/2011,5,2011,3000000,Rutger Hauer,Gregory Smith,Molly Dunsworth,Jason Eisener,John Davies,"A train rolls into its final stop. From one of the freight cars jumps a weary-eyed transient with dreams of a fresh start in a new town. Instead, he lands smack-dab in the middle of an urban hellhole, a place where the cops are crooked and the underprivileged masses are treated like insignificant animals. This is a city where crime reigns supreme, and the man pulling the strings is known only as ""The Drake."" Along with his two cold-blooded and sadistic sons, Ivan and Slick, he rules with an iron fist, and nobody dares fuck with The Drake, especially not some hobo. Director Jason Eisener's blood-soaked return to the Sundance Film Festival is more than just a nod to the grindhouse flicks of the 1970s and '80s; he ups the ante in a major way, and Rutger Hauer's performance is a legendary display of brutal ass-kicking and meticulous name-taking that is not to be missed. -- (C) Magnet",Fresh,66,119,Spilled,57,20430
The Brothers Grimm,Action,PG-13 ,118,8/26/2005,8,2005,88000000,Matt Damon,Heath Ledger,Monica Bellucci,Terry Gilliam,Ehren Kruger,"Two men who have made a career out of spinning remarkable stories find themselves bringing them to life in this inventive fantasy inspired by the creators of some of the world's best-loved fairy tales. Will Grimm (Matt Damon) and his brother Jake Grimm (Heath Ledger) earn their living by traveling from village to village and vanquishing strange supernatural beasts that have been menacing the populace. Or at least that's what their clients think has been happening; as it happens, Will and Jake are confidence men who cleverly stage the ghostly attacks and then take payment for making the creatures they fabricated go away. One day, the brothers arrive in a town and offer to help its people drive away evil spirits, unaware that the community is bordered by a genuine enchanted forest, and that young girls in the village have been disappearing at a frightful rate. The Grimm Brothers must now learn how to deal with real magic, with the help of the lovely but fearless Angelika (Lena Headey). Directed by Terry Gilliam, The Brothers Grimm also stars Monica Bellucci, Peter Stormare, and Jonathan Pryce. ~ Mark Deming, Rovi",Rotten,38,183,Spilled,39,373932
Money Train,Action,R ,110,11/22/1995,11,1995,60000000,Wesley Snipes,Woody Harrelson,Jennifer Lopez,Joseph Ruben,David Loughery,"Actors Woody Harrelson and Wesley Snipes team up for the third time in this actioner that has them playing brothers working as subway cops for New York City transit. Their job is to curtail subway crime. They are also in hot pursuit of an arsonist. The ""brothers,"" are dramatically different. John (Snipes) is black, hyper-responsible, and very protective of the lily white and free-spirited Charlie (Harrelson). Irresponsible Charlie has a larcenous streak and secretly fantasizes about robbing the money train, the subway assigned to collect all the money gathered each day at each station throughout the city. He would use the loot to pay off his considerable gambling debts. The natural tension between the disparate twosome increases with the addition of Grace, their new partner. Eventually they decide to give it a go and attempt to rob the money train.",Rotten,22,32,Spilled,29,50175
Two Brothers,Action,PG ,104,6/25/2004,6,2004,74500000,Guy Pearce,Jean-Claude Dreyfus,Freddie Highmore,Jean-Jacques Annaud,Alain Godard,"Like The Bear, director Jean-Jacques Annaud's acclaimed animal picture released 15 years prior, Two Brothers offers a family-friendly epic as told through the eyes of its four-legged protagonists, who, in this case, are sibling tiger cubs Koumal and Sangha. Though a life in the jungles of French colonial Indochina circa the 1920s seemed certain, the cubs are separated shortly after their birth when the notorious hunter Aidan McRory (Guy Pearce) kills their father. Koumal is whisked away to a circus, where he is cruelly beaten into submission and forced to perform tricks to earn his keep. Sangha fares better at first -- he lands in the posh estate of a French government official who wants the big cat to serve as a companion for his lonely son, though a series of unforeseen circumstances ultimately finds Sangha in the hands of a man determined to turn him into an aggressive prizefighter. Understandably, neither tiger is happy with his arrangements, and both escape captivity in hopes of returning to the jungle. Unfortunately for them, the prospect of two loose tigers is hardly comforting for the locals, who quickly demand that McRory kill the cubs before they threaten the safety of the village. Once McRory finds the tigers in their natural habitat, however, he faces a crisis of conscience he hadn't thought possible. Two Brothers also features Jean-Claude Dreyfus and Freddie Highmore.",Certified-Fresh,78,114,Upright,75,32370
The Caine Mutiny,Action,PG ,124,6/24/1954,6,1954,2000000,Humphrey Bogart,Fred MacMurray,Van Johnson,Edward Dmytryk,Stanley Roberts,"Herman Wouk's Pulitzer Prize-winning novel The Caine Mutiny was the source of both a play and a film. The play, also written by Wouk, concentrates only on the court-martial which provides one of the story's many climaxes. The film attempts to telescope the entire book into two hours, and does an admirable job, despite the censorial measures taken to insure cooperation from the US Navy. The central character is Ensign Willie Keith (Robert Francis), who in the early months of World War II is assigned to the Caine, a battered minesweeper. Dismayed by the slovenliness of the crew and the seemingly lackadaisical attitude of Captain DeVries (Tom Tully), Keith is delighted when DeVries is replaced by ""All Navy"" Captain Phillip Francis Queeg (Humphrey Bogart). A strict disciplinarian, Queeg rapidly whips the Caine into shape. Unfortunately, he's been in combat far too long, and is nearing the end of his tether. Increasingly paranoid, Queeg makes foolish mistakes at sea while misdirecting his attention towards such details as untucked shirts and unworn hats. Lt. Keefer (Fred MacMurray), one of Queeg's officers, rails against the captain's erratic behavior to his fellow officers. He convinces Lt. Maryk (Van Johnson) that Queeg is a danger to himself and his men, and that Maryk should consider usurping Queeg's authority. During a storm at sea, the beleaguered Queeg panics, and Maryk, acting upon Keefer's suggestion, stages a mutiny and assumes command, with Keith standing by Maryk's decision. A court-martial follows, with Navy attorney Lt. Barney Greenwald (Jose Ferrer) reluctantly defending Maryk and Keith. During the testimony, Keefer, who has managed to avoid any tangible connection with the mutiny, lies about his complicity. Greenwald's only hope at this point is to discredit Queeg--which he does by bringing up an incident wherein the obsessive Queeg forced his officers to conduct an extensive search for some missing strawberries. Queeg cracks under questioning, and the defendants are cleared. At a victory celebration, a drunken Greenwald rails against the ""summer sailors"" who ruined an essentially courageous but worn-out man like Queeg, ending his tirade by throwing a glass of champagne in the treacherous Keefer's face. Major changes in transferring the novel to the screen included Greenwald's curtain speech, which originally brought up the lawyer's Jewish heritage; also, the novel's Captain Queeg is not forcibly retired after his breakdown, but instead transferred to stateside duty, where the press lauds him as a hero! Humphrey Bogart delivers one of his most memorable (and most often imitated) performances as the neurotic Queeg, though playgoers with long memories insist that Lloyd Nolan, who played Queeg on Broadway, gave a far more powerful accounting of this complex role.",Fresh,92,25,Upright,87,7557
Super,Action,R ,96,4/1/2011,4,2011,2500000,Rainn Wilson,Ellen Page,Liv Tyler,James Gunn (II),James Gunn (II),"In the outlandish dark comedy SUPER, James Gunn has created what is perhaps the definitive take on self-reflexive superheroes. When sad-sack loser Frank (Rainn Wilson) sees his ex-addict wife (Liv Tyler) willingly snatched by a seductive drug dealer (Kevin Bacon), he finds himself bereft and wholly unable to cope. But soon he decides to fight back under the guise of a DIY superhero called Crimson Bolt. With a hand-made suit, a wrench, and a crazed sidekick named Boltie (Ellen Page), the Crimson Bolt beats his way through the mean streets of crime in hopes of saving his wife. The rules were written a long time ago: You are not supposed to molest children, cut lines or key cars; if you do, prepare to face the wrath of the Crimson Bolt! No stranger to rebel filmmaking, James Gunn cut his teeth writing for Troma before making his directing debut with 2006's SLITHER. In a similar vein, his follow-up feature combines absurd humor with balls-out violence to create something that is both unashamed and inimitable. But this time Gunn adds a new ingredient, one that is dark, dramatic and subversive to the core. -- (c) IFC Films",Rotten,49,124,Spilled,56,22880
Johnny Mnemonic,Action,R ,98,5/26/1995,5,1995,25000000,Keanu Reeves,Dolph Lundgren,Dina Meyer,Robert Longo,William Ford Gibson,"This Canadian sci-fi action feature is set in the grim, heavily computerized future. It is the tale of Johnny, a young man with a computer chip implanted in his head. The chip contains a wealth of top-secret information that he must smuggle from Japan to the US. He is pursued by an evil yakuza who wants the information for his own mega-corporation. Johnny evades him and makes it to the Free City of Newark where he is to be downloaded. He must hurry because if the information isn't removed soon, his head will explode. While in Newark, he is chased by a loin-cloth wearing villain who wants his head, which he will keep alive until the information has been retrieved. In the end, Johnny's information is successfully downloaded amid spectacular computer-generated graphics.",Rotten,12,33,Spilled,31,51889
Close Encounters of the Third Kind,Action,PG ,137,11/15/1977,11,1977,20000000,Richard Dreyfuss,Melinda Dillon,Teri Garr,Steven Spielberg,Steven Spielberg,"Steven Spielberg followed Jaws (1975), his first major box-office success, with this epic science fiction adventure about a disparate group of people who attempt to contact alien intelligence. Roy Neary (Richard Dreyfuss) is an electrical lineman who, while sent out on emergency repairs, witnesses an unidentified flying object, and even has a ""sunburn"" from its bright lights to prove it. Neary's wife and children are at first skeptical, then concerned, and eventually fearful, as Roy refuses to accept a ""logical"" explanation for what he saw and is prepared to give up his job, his home, and his family to pursue the ""truth"" about UFOs. Neary's obsession eventually puts him in contact with others who've had close encounters with alien spacecraft, including Jillian (Melinda Dillon), a single mother whose son disappeared during her UFO experience, and Claude Lacombe (celebrated French filmmaker Franois Truffaut), a French researcher who believes that we can use a musical language to communicate with alien visitors. Lacombe's theory is put to the test when a band of government researchers and underground UFO enthusiasts (including Neary) join for an exchange with alien visitors near Devil's Tower, Wyoming. In 1980, a ""Special Edition"" was released. While its primary selling point was the addition of scenes inside the alien spaceship, Spielberg claimed that he also cleaned up some choppy editing in the second act. ~ Mark Deming, Rovi",Certified-Fresh,94,65,Upright,85,142101
The Grey,Action,R ,118,1/27/2012,1,2012,25000000,Liam Neeson,Frank Grillo,Dermot Mulroney,Joe Carnahan,Ian Mackenzie Jeffers,"In The Grey, Liam Neeson leads an unruly group of oil-rig roughnecks when their plane crashes into the remote Alaskan wilderness. Battling mortal injuries and merciless weather, the survivors have only a few days to escape the icy elements - and a vicious pack of rogue wolves on the hunt - before their time runs out. -- (C) Open Road Films",Certified-Fresh,79,208,Upright,61,164989
Octopussy,Action,PG ,131,6/10/1983,6,1983,27500000,Roger Moore,Louis Jourdan,Maud Adams,John Glen,Richard Maibaum,"This (13th) time around, 007 (once again played by Roger Moore) receives the usual call to come and visit M when another agent drops off a fake Faberge jeweled egg at the British embassy in East Berlin and is later killed at a traveling circus. Suspicions mount when the assistant manager of the circus Kamal (Louis Jourdan), outbids Bond for the real Faberge piece at Sotheby's. Bond follows Kamal to India where the superspy thwarts many an ingenious attack and encounters the antiheroine of the title (Maud Adams), an international smuggler who runs the circus as a cover for her illegal operations. It does not take long to figure out that Orlov (Steven Berkoff), a decidedly rank Russian general is planning to raise enough money with the fake Faberges to detonate a nuclear bomb in Europe and then defeat NATO forces once and for all in conventional warfare. John Glen returns again to handle directing duties, the second of five Bond films he lensed.",Rotten,43,49,Spilled,47,61236
The Blues Brothers,Action,R ,133,6/20/1980,6,1980,27000000,John Belushi,Dan Aykroyd,James Brown (II),John Landis,Dan Aykroyd,"Expanding on their Saturday Night Live characters, John Belushi and Dan Aykroyd star as Jake and Elwood Blues, two white boys with black soul. Sporting cool shades and look-alike suits, Jake and Elwood are dispatched on a ""mission from God"" by their former teacher, Sister Mary Stigmata (Kathleen Freeman). Said mission is to raise $5000 to save an orphanage. In the course of their zany adventures, the Blues Brothers run afoul of neo-Nazi Henry Gibson, perform the theme from Rawhide before the most unruly bar crowd in written history, and lay waste to hundreds of cars on the streets and freeways of Chicago. In case you aren't swept up in the infectuous nuttiness of the brothers Blue, you might have fun spotting film's legion of guest stars, including James Brown, Cab Calloway, Aretha Franklin, Ray Charles, John Candy, Carrie Fisher, Steve Lawrence, Twiggy, Paul Reubens (aka Pee-Wee Herman), Frank Oz, and Steven Spielberg. ~ Hal Erickson, Rovi",Certified-Fresh,84,58,Upright,92,256003
Bulletproof,Action,R ,85,9/6/1996,9,1996,25000000,Damon Wayans,Adam Sandler,James Caan,Ernest R. Dickerson,Joe Gayton,"This action-packed buddy picture pairs Keats, a black police officer, with a wiseacre white drug-runner named Archie Moses. Working undercover, Keats is assigned to become friends with Moses in order to capture his boss, drug-lord Frank Colton. Keats' problems begin when Moses finds out about the sting.",Rotten,8,39,Spilled,44,74954
Harry Potter and the Order of the Phoenix,Action,PG-13 ,138,7/11/2007,7,2007,150000000,Daniel Radcliffe,Rupert Grint,Emma Watson,David Yates (II),Michael Goldenberg,"Young wizard-in-training Harry Potter (Daniel Radcliffe) returns to Hogwarts for his fifth year of studies, only to find that the magical community seems to be in a curious state of denial about his recent encounter with the sinister Lord Voldemort (Ralph Fiennes) in the fifth installment of the popular fantasy film series based on the best-selling books by author J.K. Rowling. Rumor has it that the dreaded Lord Voldemort has returned, but Minister for Magic Cornelius Fudge (Robert Hardy) isn't so sure what to make of all the hearsay currently floating around the campus of Hogwarts. Suspecting that Headmaster Albus Dumbledore (Michael Gambon) may be fueling the rumors regarding Voldemort's return in order to undermine his authority and lay claim to his job, Fudge entrusts newly arrived Defense Against the Dark Arts professor Dolores Umbridge (Imelda Staunton) with the task of tracking Dumbledore and keeping a protective watch over the nervous student body. The young wizards of Hogwarts will need something much more effective than Umbridge's Ministry-approved course in defensive magic if they are to truly succeed in the extraordinary battle that lies ahead, however, and when the administration fails to provide the students with the tools that they will need to defend Hogwarts against the fearsome powers of the Dark Arts, Hermione (Emma Watson), Ron (Rupert Grint), and Harry take it upon themselves to recruit a small group of students to form ""Dumbledore's Army"" in preparation for the ultimate supernatural showdown. ~ Jason Buchanan, Rovi",Certified-Fresh,78,255,Upright,81,2333513
Man of Steel,Action,PG-13 ,143,6/14/2013,6,2013,225000000,Henry Cavill,Amy Adams,Michael Shannon,Zack Snyder,Christopher Nolan,"A young boy learns that he has extraordinary powers and is not of this Earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind. -- (C) Warner Bros",Rotten,56,334,Upright,75,448951
Killers,Action,NR,137,1/23/2015,1,2015,75000000,Rin Takanashi,Kazuki Kitamura,Ray Sahetapy,Kimo Stamboel,Takuji Ushiyama,"A series of horrific murders have just gone viral, posted anonymously by the handsome and seductive Nomura with a taste for torture. Thousands of miles away, disgraced journalist Bayu can't stop watching - and in a reckless moment discovers he, too, can kill. One man in Tokyo. One in Jakarta. A serial killer and a vigilante. As the posts multiply and the body count rises, a bizarre and psychotic rivalry begins - and the face-to-face showdown that's coming will paint the city in blood.",Rotten,10,108,Spilled,41,139460
Killing Zoe,Action,R ,96,8/31/1994,8,1994,1500000,Eric Stoltz,Julie Delpy,Jean-Hugues Anglade,Roger Avary,Roger Avary,"This thriller follows the exploits of a recently released con who gets involved with the bank job from hell. As soon as Zed is released from prison he heads for Paris to perform a robbery for a friend. Zed is a safe-cracker. His friend Eric has chosen a very difficult safe at a large bank. Not only does he expect Zed to successfully break in, he wants him to do it during business hours. Eric ""plans"" that it will be as easy as walking in the bank, pulling out the cash, and leaving. Immediately after the heist, Zed must leave Europe. Before he meets with Eric, Zed spends time with Zoe, a call girl. The night before the job, the 9 thieves spend their time drinking, taking drugs, and making love. None of them are mentally and physically prepared for the theft. Sure enough, the robbery begins badly. Though there are seven members on the ""team,"" most are so badly hung-over that they are not functioning. Someone is killed. Zed is taken to the basement to open the vault. En route he spies Zoe, who works as a teller by day. The plot offers many unique twists before the doomed thieves get their proper due.",Rotten,36,28,Upright,64,12907
Lethal Weapon,Action,R ,110,3/6/1987,3,1987,15000000,Mel Gibson,Danny Glover,Gary Busey,Richard Donner,Shane Black,"L.A. cop Martin Riggs (Mel Gibson), whose wife has recently died, is a loose cannon with a seeming death wish. This makes him indispensable in collaring dangerous criminals, but a liability to any potential partners. Roger Murtaugh (Danny Glover), a conservative family man who wants to stay alive for his upcoming 50th birthday, is partnered with Riggs. As Riggs gets to know Murtaugh and his family, he begins to mellow, though his insistence on using guerilla tactics to catch criminals is still (put mildly) above and beyond the call of duty. The main villain is The General (Mitchell Ryan), a drug dealer responsible for the death of the daughter of one of Murtaugh's oldest friends. The General is also in charge of a deadly, militia-like gang of smugglers. Adding fuel to the fire is The General's chief henchman, played with all stops out by Gary Busey. Moviegoers familiar only with the relatively tongue-in-cheek Lethal Weapon sequels may be amazed to find out how dangerous and unpredictable Riggs is in the first Lethal Weapon -- and how likely it seems that Murtaugh might not survive until fade-out time. ~ Hal Erickson, Rovi",Certified-Fresh,81,57,Upright,86,344521
The Wizard,Action,PG ,100,12/15/1989,12,1989,6000000,Fred Savage,Luke Edwards,Jenny Lewis,Todd Holland,David Chisholm,The adventures of two brothers en route to California.,Rotten,32,22,Upright,60,20462
Dinosaur,Action,PG ,82,5/19/2000,5,2000,127500000,D.B. Sweeney,Jonathan Harris,Julianna Margulies,Ralph Zondag,Robert Nelson Jacobs,"The journey of a three-ton Iguanodon named Aladar, who is raised from the egg by a clan of lemurs and eventually reunited with his own kind. With flaming meteors devastating the landscape and water in diminishing supply, the dinosaurs find themselves in a race against time to reach the safety of their nesting grounds. When Aladar comes to the aid of a group of misfits unable to keep up with the breakneck pace of the herd, he makes an enemy of Kron, the stone-hearted leader of the group. Faced with such perils as treacherous rock slides and attacking Carnotaurs, Aladar and his new friends must overcome tremendous obstacles before they can settle into a new life in a beautiful valley.",Fresh,64,123,Spilled,48,71245
Idiocracy,Action,R ,104,9/1/2006,9,2006,30000000,Luke Wilson,Maya Rudolph,Dax Shepard,Mike Judge,Mike Judge,"In 2005, average in every way private Joe Bowers (Luke Wilson) is selected to take part in a secret military experiment to put him in hibernation for a year along with a woman named Rita (Maya Rudolph). The slumbering duo is forgotten when the base they are stored on is closed down and are left in stasis until 2505. When they finally wake up, they discover the average intelligence of humans has decreased so much that Joe is now the smartest man in the world.",Certified-Fresh,76,49,Upright,60,64998
Gymkata,Action,R ,90,6/25/1991,6,1991,8500000,Kurt Thomas,Tetchie Agbayani,Richard Norton,Robert Clouse,Charles Robert Carner,"In a standard no-plotter, this is a martial arts showcase for gymnast Kurt Thomas as Jonathan Cabot, the front line man sent out to secure a military foothold in an unfriendly, unnamed country in Eastern Europe near the Caspian sea. Jonathan has to use his lethal weapons (hands and feet) and his ingenuity to chop down legions of adversaries, especially in a one-against-all scene in a rustic village. With scenic Yugoslav landscapes and the attractive Miss Philippines (Tetchie Agbayani) as Princess Rubali, the film offers some visual appeal as well as whirling martial arts choreography.",Rotten,17,12,Spilled,40,3824
Indiana Jones and the Kingdom of the Crystal Skull,Action,PG-13 ,122,5/22/2008,5,2008,185000000,Harrison Ford,Shia LaBeouf,Cate Blanchett,Steven Spielberg,David Koepp,"After being forced to leave Marshall College under dubious circumstances, Indy joins forces with rebellious, young Mutt, who believes he knows the whereabouts of one of the most spectacular archeological finds in history--the Crystal Skull of Akator, a legendary object of fascination, superstition and fear. But, as Indy and Mutt set out for the most remote corners of Peru--a land of ancient tombs, forgotten explorers and a rumored city of gold--they quickly realize they are not alone in their search. Soviet agents are also hot on the trail of the Crystal Skull. Chief among them is icy cold, devastatingly beautiful Irina Spalko, whose elite military unit is scouring the globe for the eerie Crystal Skull, which they believe can help the Soviets dominate the world--if they can unlock its secrets. Indy and Mutt must find a way to evade the ruthless Soviets, follow an impenetrable trail of mystery, grapple with enemies and friends of questionable motives, and, above all, stop the powerful Crystal Skull from falling into the deadliest of hands.",Certified-Fresh,78,274,Spilled,54,1320715
Mars Attacks!,Action,PG-13 ,108,12/13/1996,12,1996,70000000,Jack Nicholson,Glenn Close,Annette Bening,Tim Burton,Jonathan Gems,"This quirky science fiction comedy is a characteristic feature by iconoclastic director Tim Burton, known to moviegoers for Beetlejuice, Edward Scissorhands, and The Nightmare Before Christmas. The storyline affectionately harkens back to the deadpan sincerity of such '50s and '60s science-fiction films as The Day the Earth Stood Still and War of the Worlds. Flying saucers have been reliably seen over the capitals of the world, and the whole world awaits with bated breath to see what will transpire. Among those waiting is the President of the United States (Jack Nicholson), who is assured by his science advisor (Pierce Brosnan) that the coming aliens are utterly peaceful. This advice is hotly contested by the military (led by Rod Steiger), who advices the President to annihilate them. When the aliens land, they are seen to be green, garish, and very cheerful. But appearances prove deceiving when the ""friendly"" aliens abruptly disintegrate the entire U.S. Congress. Hollywood notables appear in vast quantities in roles (and sub-plots) of all sizes in this zany feature. ~ Clarke Fountain, Rovi",Rotten,54,83,Spilled,53,436482
The Adventures of Tintin,Action,PG ,107,12/21/2011,12,2011,130000000,Jamie Bell,Andy Serkis,Daniel Craig,Steven Spielberg,Steven Moffat,"Paramount Pictures and Columbia Pictures Present a 3D Motion Capture Film The Adventures of Tintin directed by Steven Spielberg from a screenplay by Steven Moffat and Edgar Wright & Joe Cornish. Starring Jamie Bell as Tintin, the intrepid young reporter whose relentless pursuit of a good story thrusts him into a world of high adventure, and Daniel Craig as the nefarious Red Rackham. -- (C) Official Site",Certified-Fresh,74,232,Upright,74,77487
Inkheart,Action,PG ,106,1/23/2009,1,2009,60000000,Brendan Fraser,Paul Bettany,Helen Mirren,Iain Softley,David Lindsay-Abaire,"Mortimer ""Mo"" Folchart and his 12-year-old daughter, Meggie, share an extraordinary gift for bringing characters from books to life when they read aloud. But there is a danger: when a character is brought to life from a book, a real person disappears into its pages. On one of their trips to a secondhand book shop, Mo locates a book he's been searching for since Meggie was three years old, when her mother, Resa, vanished into its mystical world. But Mo's plan to use the book to find and rescue Resa is thwarted when Capricorn, the evil villain of ""Inkheart,"" kidnaps Meggie and, discovering she has inherited her father's gift, demands that she bring to life his most powerful ally, the Shadow. Determined to rescue his daughter and send the fictional characters back where they belong, Mo assembles a small group of friends and family--some from the real world, some from the pages of books--and embarks on a daring and perilous journey to set things right.",Rotten,39,144,Spilled,45,166709
